filename;label;fch_feature_0;fch_feature_1;fch_feature_2;fch_feature_3;fch_feature_4;fch_feature_5;fch_feature_6;fch_feature_7;fch_feature_8;fch_feature_9
augmented_Corn_Gray_Spot (210)_aug1.png;Bercak Daun;0.0962167163525015;0.0962167163525015;0.10412896009382198;0.10234881404411526;0.1008013801506742;0.11846125372746799;0.08806109537242905;0.10773244079352046;0.09190323732371072;0.09412938578925735
augmented_Corn_Gray_Spot (210)_aug2.png;Bercak Daun;0.09604126720800873;0.09604126720800873;0.10409045166242104;0.1023744670231117;0.10084976703175674;0.1188076879496913;0.08808227444915957;0.10793965226508624;0.09178254640167041;0.09399061880108552
augmented_Corn_Gray_Spot (210)_clean.png;Bercak Daun;0.0962167163525015;0.0962167163525015;0.10412896009382198;0.10234881404411526;0.10080138015067423;0.11846125372746799;0.08806109537242902;0.10773244079352046;0.09190323732371072;0.09412938578925735
augmented_Corn_Gray_Spot (213)_aug1.png;Bercak Daun;0.090270230982429;0.090270230982429;0.10200281330531281;0.10286415110940723;0.10281905521462371;0.12900195332150213;0.08975660692668769;0.11379237799241547;0.08881454827954528;0.09040803188564754
augmented_Corn_Gray_Spot (213)_aug2.png;Bercak Daun;0.0888860436651471;0.0888860436651471;0.10153231569625563;0.10284354992739046;0.10304642674650658;0.13278833765370474;0.08991737338738733;0.11601409197070775;0.08761945809260879;0.08846635919514463
augmented_Corn_Gray_Spot (213)_clean.png;Bercak Daun;0.090270230982429;0.090270230982429;0.10200281330531281;0.10286415110940723;0.10281905521462369;0.12900195332150213;0.08975660692668769;0.11379237799241546;0.08881454827954528;0.09040803188564754
augmented_Corn_Gray_Spot (227)_aug1.png;Bercak Daun;0.09854729375527173;0.09854729375527173;0.10927044449019872;0.09893528555597131;0.09801092542670749;0.1151724478534825;0.08618273065970432;0.10531820664958487;0.09026123091695802;0.09975414093684949
augmented_Corn_Gray_Spot (227)_aug2.png;Bercak Daun;0.0979526963258574;0.0979526963258574;0.10937737921874291;0.0987148115212727;0.09804714703274214;0.11669344947236918;0.08624323806799687;0.10622352387181297;0.08955977177591928;0.09923528638742908
augmented_Corn_Gray_Spot (227)_clean.png;Bercak Daun;0.09854729375527173;0.09854729375527173;0.10927044449019875;0.09893528555597131;0.09801092542670749;0.1151724478534825;0.08618273065970432;0.10531820664958487;0.09026123091695801;0.09975414093684949
augmented_Corn_Gray_Spot (249)_aug1.png;Bercak Daun;0.09408104303098648;0.09408104303098648;0.10741699059816173;0.10585322162373186;0.10293490997104579;0.10991010483586568;0.08846726907805548;0.10319986770542901;0.09509232447169508;0.09896322565404232
augmented_Corn_Gray_Spot (249)_aug2.png;Bercak Daun;0.09367841393657363;0.09367841393657363;0.10756911210907211;0.10562236741659395;0.10294681610919026;0.11105769502585244;0.0884302667369425;0.10386736599953236;0.09448943352457134;0.09866011520509768
augmented_Corn_Gray_Spot (249)_clean.png;Bercak Daun;0.09408104303098648;0.09408104303098648;0.10741699059816173;0.10585322162373186;0.10293490997104579;0.10991010483586568;0.08846726907805547;0.10319986770542901;0.09509232447169508;0.09896322565404234
augmented_Corn_Gray_Spot (449)_aug1.png;Bercak Daun;0.09499589834122217;0.09499589834122217;0.09429157350677347;0.11334865393637836;0.1012316176546187;0.1135789666798032;0.09121136989924511;0.10719042540712773;0.09930672546374669;0.0898488707698622
augmented_Corn_Gray_Spot (449)_aug2.png;Bercak Daun;0.0945097070267608;0.0945097070267608;0.09438814050958341;0.1132171851933093;0.10124537475239076;0.11473245088753958;0.0912066792047102;0.10784790635488418;0.09887882403233755;0.08946402501172335
augmented_Corn_Gray_Spot (449)_clean.png;Bercak Daun;0.09499589834122218;0.09499589834122218;0.09429157350677349;0.11334865393637839;0.10123161765461869;0.11357896667980323;0.09121136989924512;0.10719042540712775;0.09930672546374672;0.08984887076986223
augmented_Corn_Gray_Spot (452)_aug1.png;Bercak Daun;0.09045304605790716;0.09045304605790716;0.09676688266713628;0.11193577017291469;0.10647607175159349;0.10786075836398885;0.09264992613824286;0.10186430045838364;0.10430286098972245;0.09723733734220358
augmented_Corn_Gray_Spot (452)_aug2.png;Bercak Daun;0.0891062469674744;0.0891062469674744;0.09678444115934912;0.11132660489128182;0.10678760876433717;0.11199928768982287;0.092707802836865;0.10416965022969267;0.1024433791273556;0.09556873136634715
augmented_Corn_Gray_Spot (452)_clean.png;Bercak Daun;0.09045304605790716;0.09045304605790716;0.09676688266713625;0.11193577017291469;0.10647607175159349;0.10786075836398885;0.09264992613824286;0.10186430045838364;0.10430286098972245;0.09723733734220358
augmented_Corn_Gray_Spot (463)_aug1.png;Bercak Daun;0.09291500623343789;0.09291500623343789;0.11759192132101356;0.10292834779896379;0.09965765622888495;0.09937343092754028;0.0879211587555641;0.09920675326796988;0.09663087462999331;0.11085984460319448
augmented_Corn_Gray_Spot (463)_aug2.png;Bercak Daun;0.09227829567829673;0.09227829567829673;0.11727026055426218;0.10287655571039216;0.0998279901563178;0.10174129601725032;0.0878926410129425;0.10053044170815964;0.09563802484631996;0.1096661986377619
augmented_Corn_Gray_Spot (463)_clean.png;Bercak Daun;0.09291500623343789;0.09291500623343789;0.11759192132101356;0.10292834779896379;0.09965765622888495;0.09937343092754031;0.0879211587555641;0.09920675326796988;0.09663087462999331;0.11085984460319448
augmented_Corn_Gray_Spot (471)_aug1.png;Bercak Daun;0.09210242194889087;0.09210242194889087;0.10860742657554788;0.10161445167375942;0.10222133507993926;0.12289655350627009;0.08744623392849771;0.1105445583136357;0.08864048849660312;0.09382410852796506
augmented_Corn_Gray_Spot (471)_aug2.png;Bercak Daun;0.0908698946005413;0.0908698946005413;0.1082914854811608;0.10176118771899058;0.10247515452785454;0.12551260652662838;0.0876538117446422;0.1121373017996723;0.087822385144926;0.09260627785504254
augmented_Corn_Gray_Spot (471)_clean.png;Bercak Daun;0.09210242194889087;0.09210242194889087;0.10860742657554788;0.1016144516737594;0.10222133507993929;0.12289655350627009;0.0874462339284977;0.1105445583136357;0.08864048849660311;0.09382410852796508
augmented_Corn_Gray_Spot (475)_aug1.png;Bercak Daun;0.0952367208033796;0.0952367208033796;0.09487175196724099;0.11072565872022352;0.10161689164422179;0.11620644227397392;0.09074118843933662;0.10770296936273244;0.09704934160432054;0.0906123143811909
augmented_Corn_Gray_Spot (475)_aug2.png;Bercak Daun;0.09404963980681492;0.09404963980681492;0.0950528577241206;0.11035153367695075;0.10170329879734348;0.11916263541195256;0.09071071212670409;0.10933626176082054;0.09597071234379112;0.08961270854468695
augmented_Corn_Gray_Spot (475)_clean.png;Bercak Daun;0.0952367208033796;0.0952367208033796;0.09487175196724099;0.1107256587202235;0.10161689164422179;0.11620644227397392;0.09074118843933662;0.10770296936273244;0.09704934160432054;0.0906123143811909
