filename;label;LBP_0;LBP_1;LBP_2;LBP_3;LBP_4;LBP_5;LBP_6;LBP_7;LBP_8;LBP_9;fch_feature_0;fch_feature_1;fch_feature_2;fch_feature_3;fch_feature_4;fch_feature_5;fch_feature_6;fch_feature_7;fch_feature_8;fch_feature_9
augmented_Corn_Gray_Spot (210)_aug1.png;Bercak Daun;7.06863403317616e+16;2144241332999630.0;2.65808105467736e+16;1.13437652587458e+16;2.60501861571272e+16;1.49219512938884e+16;5358505249003000.0;2.68478393553663e+16;0.312927246092556;2.8388977050673e+16;0.0962167163525015;0.0962167163525015;0.1041289600938219;0.1023488140441152;0.1008013801506742;0.1184612537274679;0.088061095372429;0.1077324407935204;0.0919032373237107;0.0941293857892573
augmented_Corn_Gray_Spot (210)_aug2.png;Bercak Daun;7896423339813630.0;2.27241516112414e+16;2.94189453123878e+16;1.15497589110888e+16;2.44853973387738e+16;1.48216247558028e+16;5.55610656736162e+16;2.80838012694241e+16;0.317771911619881;299758911131669.0;0.0960412672080087;0.0960412672080087;0.104090451662421;0.1023744670231117;0.1008497670317567;0.1188076879496913;0.0880822744491595;0.1079396522650862;0.0917825464016704;0.0939906188010855
augmented_Corn_Gray_Spot (210)_clean.png;Bercak Daun;7.06863403317616e+16;2144241332999630.0;2.65808105467736e+16;1.13437652587458e+16;2.60501861571272e+16;1.49219512938884e+16;5358505249003000.0;2.68478393553663e+16;0.312927246092556;2.8388977050673e+16;0.0962167163525015;0.0962167163525015;0.1041289600938219;0.1023488140441152;0.1008013801506742;0.1184612537274679;0.088061095372429;0.1077324407935204;0.0919032373237107;0.0941293857892573
augmented_Corn_Gray_Spot (213)_aug1.png;Bercak Daun;1091003417964590.0;2.20909118651501e+16;3222274780261140.0;1.01852416991799e+16;1.77177429198543e+16;1.12880706786679e+16;4970932006816980.0;2.53906249999031e+16;0.435096740720996;3266906738268790.0;0.090270230982429;0.090270230982429;0.1020028133053128;0.1028641511094072;0.1028190552146237;0.1290019533215021;0.0897566069266876;0.1137923779924154;0.0888145482795452;0.0904080318856475
augmented_Corn_Gray_Spot (213)_aug2.png;Bercak Daun;1371765136713520.0;2767181396473820.0;4088211059554720.0;9356689453089310.0;1.15615844726121e+16;9995269775352500.0;551681518552583.0;321655273436273.0;0.47932815551575;4.193115234359e+16;0.0888860436651471;0.0888860436651471;0.1015323156962556;0.1028435499273904;0.1030464267465065;0.1327883376537047;0.0899173733873873;0.1160140919707077;0.0876194580926087;0.0884663591951446
augmented_Corn_Gray_Spot (213)_clean.png;Bercak Daun;1091003417964590.0;2.20909118651501e+16;3222274780261140.0;1.01852416991799e+16;1.77177429198543e+16;1.12880706786679e+16;4970932006816980.0;2.53906249999031e+16;0.435096740720996;3266906738268790.0;0.090270230982429;0.090270230982429;0.1020028133053128;0.1028641511094072;0.1028190552146236;0.1290019533215021;0.0897566069266876;0.1137923779924154;0.0888145482795452;0.0904080318856475
augmented_Corn_Gray_Spot (227)_aug1.png;Bercak Daun;6515502929662640.0;2.50701904295919e+16;2606582641591620.0;1.06548309325765e+16;2755203247059800.0;1.57230377196666e+16;5.76248168943114e+16;332603454588575.0;0.280693054198148;3147125244128620.0;0.0985472937552717;0.0985472937552717;0.1092704444901987;0.0989352855559713;0.0980109254267074;0.1151724478534825;0.0861827306597043;0.1053182066495848;0.090261230916958;0.0997541409368494
augmented_Corn_Gray_Spot (227)_aug2.png;Bercak Daun;1.15432739257372e+16;3.35235595701846e+16;5229187011698800.0;1.41532897948679e+16;1.19991302489777e+16;1.44474029540464e+16;8669281005826300.0;4850006103497120.0;0.30967330932499;5177688598613060.0;0.0979526963258574;0.0979526963258574;0.1093773792187429;0.0987148115212727;0.0980471470327421;0.1166934494723691;0.0862432380679968;0.1062235238718129;0.0895597717759192;0.099235286387429
augmented_Corn_Gray_Spot (227)_clean.png;Bercak Daun;6515502929662640.0;2.50701904295919e+16;2606582641591620.0;1.06548309325765e+16;2755203247059800.0;1.57230377196666e+16;5.76248168943114e+16;332603454588575.0;0.280693054198148;3147125244128620.0;0.0985472937552717;0.0985472937552717;0.1092704444901987;0.0989352855559713;0.0980109254267074;0.1151724478534825;0.0861827306597043;0.1053182066495848;0.090261230916958;0.0997541409368494
augmented_Corn_Gray_Spot (249)_aug1.png;Bercak Daun;9243011474574120.0;4116439819320230.0;3.42483520506506e+16;1.0526657104452e+16;2.27104187010852e+16;1.56875610350964e+16;7206344604464700.0;4833221435528440.0;0.260578155516584;4512405395490600.0;0.0940810430309864;0.0940810430309864;0.1074169905981617;0.1058532216237318;0.1029349099710457;0.1099101048358656;0.0884672690780554;0.103199867705429;0.095092324471695;0.0989632256540423
augmented_Corn_Gray_Spot (249)_aug2.png;Bercak Daun;1.2916564941357e+16;4423522949201880.0;3.97033691404735e+16;1.09416961669504e+16;189426422118418.0;1.47003173827564e+16;7509613037080730.0;5131912231425740.0;0.27804946899308;528335571287047.0;0.0936784139365736;0.0936784139365736;0.1075691121090721;0.1056223674165939;0.1029468161091902;0.1110576950258524;0.0884302667369425;0.1038673659995323;0.0944894335245713;0.0986601152050976
augmented_Corn_Gray_Spot (249)_clean.png;Bercak Daun;9243011474574120.0;4116439819320230.0;3.42483520506506e+16;1.0526657104452e+16;2.27104187010852e+16;1.56875610350964e+16;7206344604464700.0;4833221435528440.0;0.260578155516584;4512405395490600.0;0.0940810430309864;0.0940810430309864;0.1074169905981617;0.1058532216237318;0.1029349099710457;0.1099101048358656;0.0884672690780554;0.103199867705429;0.095092324471695;0.0989632256540423
augmented_Corn_Gray_Spot (449)_aug1.png;Bercak Daun;8712768554654260.0;2.52304077147475e+16;3.05595397948053e+16;1.23527526854998e+16;2.40142822264709e+16;1529083251947290.0;6389236450170940.0;3.17192077635509e+16;0.288990020750851;3431701660143160.0;0.0949958983412221;0.0949958983412221;0.0942915735067734;0.1133486539363783;0.1012316176546187;0.1135789666798032;0.0912113698992451;0.1071904254071277;0.0993067254637466;0.0898488707698622
augmented_Corn_Gray_Spot (449)_aug2.png;Bercak Daun;1.04675292968351e+16;2.77061462401287e+16;3.61824035643151e+16;1.23424530028826e+16;2.1202850341716e+16;1465263366693630.0;6731414794896200.0;3457260131822750.0;0.303695678709779;380821228025891.0;0.0945097070267608;0.0945097070267608;0.0943881405095834;0.1132171851933093;0.1012453747523907;0.1147324508875395;0.0912066792047102;0.1078479063548841;0.0988788240323375;0.0894640250117233
augmented_Corn_Gray_Spot (449)_clean.png;Bercak Daun;8712768554654260.0;2.52304077147475e+16;3.05595397948053e+16;1.23527526854998e+16;2.40142822264709e+16;1529083251947290.0;6389236450170940.0;3.17192077635509e+16;0.288990020750851;3431701660143160.0;0.0949958983412221;0.0949958983412221;0.0942915735067734;0.1133486539363783;0.1012316176546186;0.1135789666798032;0.0912113698992451;0.1071904254071277;0.0993067254637467;0.0898488707698622
augmented_Corn_Gray_Spot (452)_aug1.png;Bercak Daun;8945465087856500.0;3.02619934080877e+16;3.07083129881641e+16;1.18507385253454e+16;2514572143545100.0;1.72775268554028e+16;7395172119112410.0;3930664062485010.0;0.23443222045809;3965377807602060.0;0.0904530460579071;0.0904530460579071;0.0967668826671362;0.1119357701729146;0.1064760717515934;0.1078607583639888;0.0926499261382428;0.1018643004583836;0.1043028609897224;0.0972373373422035
