filename;label;LBP_0;LBP_1;LBP_2;LBP_3;LBP_4;LBP_5;LBP_6;LBP_7;LBP_8;LBP_9
augmented_Corn_Gray_Spot (210)_aug1.png;Bercak Daun;7.06863403317616e+16;2.14424133299963e+15;2.65808105467736e+16;1.13437652587458e+16;2.60501861571272e+16;1.49219512938884e+16;5.358505249003e+15;2.68478393553663e+16;0.312927246092556;2.8388977050673e+16
augmented_Corn_Gray_Spot (210)_aug2.png;Bercak Daun;7.89642333981363e+15;2.27241516112414e+16;2.94189453123878e+16;1.15497589110888e+16;2.44853973387738e+16;1.48216247558028e+16;5.55610656736162e+16;2.80838012694241e+16;0.317771911619881;299758911131669
augmented_Corn_Gray_Spot (210)_clean.png;Bercak Daun;7.06863403317616e+16;2.14424133299963e+15;2.65808105467736e+16;1.13437652587458e+16;2.60501861571272e+16;1.49219512938884e+16;5.358505249003e+15;2.68478393553663e+16;0.312927246092556;2.8388977050673e+16
augmented_Corn_Gray_Spot (213)_aug1.png;Bercak Daun;1.09100341796459e+15;2.20909118651501e+16;3.22227478026114e+15;1.01852416991799e+16;1.77177429198543e+16;1.12880706786679e+16;4.97093200681698e+15;2.53906249999031e+16;0.435096740720996;3.26690673826879e+15
augmented_Corn_Gray_Spot (213)_aug2.png;Bercak Daun;1.37176513671352e+15;2.76718139647382e+15;4.08821105955472e+15;9.35668945308931e+15;1.15615844726121e+16;9.9952697753525e+15;551681518552583;321655273436273;0.47932815551575;4.193115234359e+16
augmented_Corn_Gray_Spot (213)_clean.png;Bercak Daun;1.09100341796459e+15;2.20909118651501e+16;3.22227478026114e+15;1.01852416991799e+16;1.77177429198543e+16;1.12880706786679e+16;4.97093200681698e+15;2.53906249999031e+16;0.435096740720996;3.26690673826879e+15
augmented_Corn_Gray_Spot (227)_aug1.png;Bercak Daun;6.51550292966264e+15;2.50701904295919e+16;2.60658264159162e+15;1.06548309325765e+16;2.7552032470598e+15;1.57230377196666e+16;5.76248168943114e+16;332603454588575;0.280693054198148;3.14712524412862e+15
augmented_Corn_Gray_Spot (227)_aug2.png;Bercak Daun;1.15432739257372e+16;3.35235595701846e+16;5.2291870116988e+15;1.41532897948679e+16;1.19991302489777e+16;1.44474029540464e+16;8.6692810058263e+15;4.85000610349712e+15;0.30967330932499;5.17768859861306e+15
augmented_Corn_Gray_Spot (227)_clean.png;Bercak Daun;6.51550292966264e+15;2.50701904295919e+16;2.60658264159162e+15;1.06548309325765e+16;2.7552032470598e+15;1.57230377196666e+16;5.76248168943114e+16;332603454588575;0.280693054198148;3.14712524412862e+15
augmented_Corn_Gray_Spot (249)_aug1.png;Bercak Daun;9.24301147457412e+15;4.11643981932023e+15;3.42483520506506e+16;1.0526657104452e+16;2.27104187010852e+16;1.56875610350964e+16;7.2063446044647e+15;4.83322143552844e+15;0.260578155516584;4.5124053954906e+15
augmented_Corn_Gray_Spot (249)_aug2.png;Bercak Daun;1.2916564941357e+16;4.42352294920188e+15;3.97033691404735e+16;1.09416961669504e+16;189426422118418;1.47003173827564e+16;7.50961303708073e+15;5.13191223142574e+15;0.27804946899308;528335571287047
augmented_Corn_Gray_Spot (249)_clean.png;Bercak Daun;9.24301147457412e+15;4.11643981932023e+15;3.42483520506506e+16;1.0526657104452e+16;2.27104187010852e+16;1.56875610350964e+16;7.2063446044647e+15;4.83322143552844e+15;0.260578155516584;4.5124053954906e+15
augmented_Corn_Gray_Spot (449)_aug1.png;Bercak Daun;8.71276855465426e+15;2.52304077147475e+16;3.05595397948053e+16;1.23527526854998e+16;2.40142822264709e+16;1.52908325194729e+15;6.38923645017094e+15;3.17192077635509e+16;0.288990020750851;3.43170166014316e+15
augmented_Corn_Gray_Spot (449)_aug2.png;Bercak Daun;1.04675292968351e+16;2.77061462401287e+16;3.61824035643151e+16;1.23424530028826e+16;2.1202850341716e+16;1.46526336669363e+15;6.7314147948962e+15;3.45726013182275e+15;0.303695678709779;380821228025891
augmented_Corn_Gray_Spot (449)_clean.png;Bercak Daun;8.71276855465426e+15;2.52304077147475e+16;3.05595397948053e+16;1.23527526854998e+16;2.40142822264709e+16;1.52908325194729e+15;6.38923645017094e+15;3.17192077635509e+16;0.288990020750851;3.43170166014316e+15
augmented_Corn_Gray_Spot (452)_aug1.png;Bercak Daun;8.9454650878565e+15;3.02619934080877e+16;3.07083129881641e+16;1.18507385253454e+16;2.5145721435451e+15;1.72775268554028e+16;7.39517211911241e+15;3.93066406248501e+15;0.23443222045809;3.96537780760206e+15
augmented_Corn_Gray_Spot (452)_aug2.png;Bercak Daun;1.44081115722107e+16;3.83682250975099e+15;5.12466430662108e+15;1.34429931640112e+15;1.25019073485851e+15;1.42013549804146e+16;8.98017883297356e+15;5.34820556638585e+15;0.29195404052623;5.92765808103208e+15
augmented_Corn_Gray_Spot (452)_clean.png;Bercak Daun;8.9454650878565e+15;3.02619934080877e+16;3.07083129881641e+16;1.18507385253454e+16;2.5145721435451e+15;1.72775268554028e+16;7.39517211911241e+15;3.93066406248501e+15;0.23443222045809;3.96537780760206e+15
augmented_Corn_Gray_Spot (463)_aug1.png;Bercak Daun;1.18179321288612e+16;4.16717529295285e+15;3.74641418455602e+15;1.19735717772981e+16;2.29412078856547e+16;1.8681716918874e+16;8.43887329098343e+15;5.09338378904307e+16;0.184982299803982;5.27763366697206e+15
augmented_Corn_Gray_Spot (463)_aug2.png;Bercak Daun;1.52397155761137e+15;4.56619262693571e+15;4.32624816892881e+15;1.20212554931182e+16;1.91253662108645e+16;1.66938781737644e+16;8.62579345699834e+15;5.50842285154149e+15;0.215805053710114;6.02836608884419e+16
augmented_Corn_Gray_Spot (463)_clean.png;Bercak Daun;1.18179321288612e+16;4.16717529295285e+15;3.74641418455602e+15;1.19735717772981e+16;2.29412078856547e+16;1.8681716918874e+16;8.43887329098343e+15;5.09338378904307e+16;0.184982299803982;5.27763366697206e+15
augmented_Corn_Gray_Spot (471)_aug1.png;Bercak Daun;1.25617980956552e+16;3.07884216307419e+16;3.88908386228985e+16;1.13407135009333e+16;1.75792694091126e+16;1.29283905028804e+15;6.58950805661549e+15;3.28674316404996e+15;0.360157012938079;4.03556823728929e+15
augmented_Corn_Gray_Spot (471)_aug2.png;Bercak Daun;1.71546936034502e+16;4.08706665037503e+15;533065795896404;107414245605059;8.40530395504606e+15;1.04660034179288e+16;7.80220031735305e+15;4.75616455076311e+15;0.404186248777755;6.27708435056199e+15
augmented_Corn_Gray_Spot (471)_clean.png;Bercak Daun;1.25617980956552e+16;3.07884216307419e+16;3.88908386228985e+16;1.13407135009333e+16;1.75792694091126e+16;1.29283905028804e+15;6.58950805661549e+15;3.28674316404996e+15;0.360157012938079;4.03556823728929e+15
augmented_Corn_Gray_Spot (475)_aug1.png;Bercak Daun;7.01522827145761e+15;2.90870666502797e+16;2.66036987303673e+16;9.80491638179853e+15;2.47352600096713e+16;1.50104522704506e+16;5.66520690915808e+15;3.49655151365854e+16;0.315448760985125;347213745115863
augmented_Corn_Gray_Spot (475)_aug2.png;Bercak Daun;9.2353820800429e+15;3.70559692381399e+15;414047241209358;1.3294601440379e+16;9.37690734859704e+15;1.14311218261283e+16;9.45396423336237e+15;5.10025024412117e+15;0.365745544432198;5.99899291989899e+16
augmented_Corn_Gray_Spot (475)_clean.png;Bercak Daun;7.01522827145761e+15;2.90870666502797e+16;2.66036987303673e+16;9.80491638179853e+15;2.47352600096713e+16;1.50104522704506e+16;5.66520690915808e+15;3.49655151365854e+16;0.315448760985125;347213745115863
augmented_Corn_Gray_Spot (478)_aug1.png;Bercak Daun;1.24206542968276e+16;3.73992919920448e+15;4.14352416990607e+15;1.43051147460392e+15;246673583983434;1.77680969237603e+16;8.15353393551577e+15;4.4673919677564e+16;0.165573120116556;4.95567321775453e+15
augmented_Corn_Gray_Spot (478)_aug2.png;Bercak Daun;1.65748596190774e+16;4.30374145506171e+16;5.12199401853515e+15;1.3803863525338e+16;1.81095123290325e+15;1.56379699706435e+15;8.58955383297505e+15;5.16052246091781e+16;0.215461730956209;6.06918334958622e+15
augmented_Corn_Gray_Spot (478)_clean.png;Bercak Daun;1.24206542968276e+16;3.73992919920448e+15;4.14352416990607e+15;1.43051147460392e+15;246673583983434;1.77680969237603e+16;8.15353393551577e+15;4.4673919677564e+16;0.165573120116556;4.95567321775453e+15
